ID_producto	Descripcion
200259	PORTARETRATO VIDRIO BLANCO/NEGRO 4 X 6,REF:140456.
20026	PORTARETRATO 3,5 X 5 C/PATITO.REF:NS056438,
200260	PORTARETRATO VIDRIO RAYADO 4 X 6,REF:140866.
200261	PORTARETRATO VIDRIO DECOR. DELFIN 4 X 6,REF:140710
200262	PORTARETRATO
200263	PORTARETRATO
200264	CUADRO RELIGIOSO C/ PURPURINA 8 X 10,REF:140477.
200265	CUADRO
200266	CUADRO
200267	CUBRE
200268	BOLSO
200269	DISFRAZ
20027	PORTA
200270	BOLSA
200271	BOLSA
200272	VARITA
200273	ESPEJO 10 X 12,REF:137316
200274	ESPEJO 11 X 14,REF:137317
200275	ESPEJO 16 X 20,REF:137318
200276	COSTURERITO
200277	MUÑECA PEPONA FLACA C/ SANDALIA,REF:244346
200278	MUÑECA
200279	MUÑECA
20028	PORTA RETRATO MULTIFOTOS(5 FOTOS).REF:ELE8027,
200280	MUÑECA ALTA C/ SANDALIA, REF:263767
200281	MUÑECA
200282	ROBOT TRANSFOR Nº1165, REF:256661
200283	ROBOT SUPER ROBET POWER Nº1168,REF:263661
200284	ROBOT POWER WARRIOR S.P.D,REF:99606
200285	ROBOT TRANSFORM KING No 1166, REF: 263662
200286	ROBOT DECA WARRIOR EN BLISTER, REF:603 (JS)
200287	ROBOT
200288	ROBOT
200289	POWER
20029	PORTA
200290	ROBOT TRANSFORMER LEADER WARRIER,REF:2651(DC)
200291	CASTILLO HAPPY FAMILY,REF:264300
200292	CASTILLO
200293	CASTILLO
200294	CASTILLO
200295	MINICOMPONENTE C/KARAOKE, REF: 264942
200296	MAQUINA DE COSER CHICA Nro1859,REF:255346
200297	MAQUINA DE CASER MEDIANA Nº1852,REF:243300
200298	MAQUINA DE COSER GDE Nº1868,REF:255353
200299	PLANCHA JUGUETE MINI,REF:244077...................
2003	CARTUCHERA
20030	PORTARETRATO
200300	CAJA
200301	NOTEBOOK
200302	NOTEBOOK
200303	PISTA
200305	PISTA
200306	MOLDE
200307	MOLDE
200308	MOLDE
200309	ALBUM
20031	PORTARETRATO
200310	ALBUM
200311	ALBUM
200312	ALBUM
200313	ALBUM
200314	ALBUM
200315	ALBUM
200316	ROCIADOR
200317	CONDIMENTERO
200318	ALCANCIA
200319	ALCANCIA
20032	PORTA RETRATO CURVO.REF:H058-C1-2,
200320	MOTO
