,nro_ticket,codigo,cupon,unidades,precio,fecha,hora_venta,cantidad_cupon,
0,133,1,0,0,50,2017-08-01,00:00:00.000,730,2
1,134,99001001,0,0,1694,2017-08-01,00:00:00.000,733,4
2,134,8002,0,2,3750,2017-08-01,00:00:00.000,733,1
3,134,2020,0,4,1400,2017-08-01,00:00:00.000,733,1
4,134,995938,0,2,2800,2017-08-01,00:00:00.000,733,1
5,135,444263,0,1,17000,2017-08-01,00:00:00.000,743,1
6,135,444730,0,1,19000,2017-08-01,00:00:00.000,743,1
7,135,444731,0,1,19000,2017-08-01,00:00:00.000,743,1
8,135,482865,0,1,7900,2017-08-01,00:00:00.000,743,1
9,135,11410,0,1,8900,2017-08-01,00:00:00.000,743,1
10,135,435799,0,1,13500,2017-08-01,00:00:00.000,743,1
11,136,71036,0,2,22950,2017-08-01,00:00:00.000,827,1
12,136,7045,0,2,29950,2017-08-01,00:00:00.000,827,1
13,136,604300,0,1,35000,2017-08-01,00:00:00.000,827,1
14,136,86481,0,2,26950,2017-08-01,00:00:00.000,827,2
15,136,74435,0,1,29950,2017-08-01,00:00:00.000,827,1
16,136,71055,0,1,39950,2017-08-01,00:00:00.000,827,1
17,136,700729,0,1,82950,2017-08-01,00:00:00.000,827,1
18,136,71974,0,2,29950,2017-08-01,00:00:00.000,827,1
19,136,443107,0,1,8500,2017-08-01,00:00:00.000,827,1
20,136,800722,0,1,14400,2017-08-01,00:00:00.000,827,1
21,136,9912237,0,1,14000,2017-08-01,00:00:00.000,827,1
22,136,6004741,0,1,21000,2017-08-01,00:00:00.000,827,1
23,136,90699,0,0,190000,2017-08-01,00:00:00.000,827,1
24,136,442744,0,1,9900,2017-08-01,00:00:00.000,827,1
25,136,690001,0,1,11900,2017-08-01,00:00:00.000,827,1
26,136,7894163,0,1,9000,2017-08-01,00:00:00.000,827,1
27,136,70559,0,0,47250,2017-08-01,00:00:00.000,827,1
28,136,90277,0,0,15000,2017-08-01,00:00:00.000,827,1
29,136,9013,0,1,9800,2017-08-01,00:00:00.000,827,1
30,136,9009,0,1,5450,2017-08-01,00:00:00.000,827,1
31,136,9011,0,1,4950,2017-08-01,00:00:00.000,827,1
32,136,9021,0,4,3000,2017-08-01,00:00:00.000,827,1
33,136,9057,0,1,13100,2017-08-01,00:00:00.000,827,1
34,136,9025,0,1,10950,2017-08-01,00:00:00.000,827,1
35,136,9037,0,1,5400,2017-08-01,00:00:00.000,827,2
36,136,9046,0,1,16400,2017-08-01,00:00:00.000,827,1
37,136,90409,0,2,2500,2017-08-01,00:00:00.000,827,1
38,136,72785,0,3,13300,2017-08-01,00:00:00.000,827,1
39,136,991164,0,2,9650,2017-08-01,00:00:00.000,827,1
40,136,58694,0,1,12100,2017-08-01,00:00:00.000,827,1
41,136,70554,0,1,26100,2017-08-01,00:00:00.000,827,1
42,136,20051,0,3,2450,2017-08-01,00:00:00.000,827,1
43,136,90404,0,1,2550,2017-08-01,00:00:00.000,827,1
44,136,90407,0,2,4150,2017-08-01,00:00:00.000,827,1
45,137,23571,0,0,8600,2017-08-01,00:00:00.000,832,1
46,137,72940,0,1,9900,2017-08-01,00:00:00.000,832,1
47,137,6289,0,1,3000,2017-08-01,00:00:00.000,832,1
48,137,422752,0,1,4600,2017-08-01,00:00:00.000,832,1
49,137,7053,0,0,34950,2017-08-01,00:00:00.000,832,1
50,137,8008,0,1,3950,2017-08-01,00:00:00.000,832,1
51,137,369587,0,1,1700,2017-08-01,00:00:00.000,832,1
52,137,789527,0,2,5450,2017-08-01,00:00:00.000,832,2
53,137,4848,0,1,500,2017-08-01,00:00:00.000,832,1
54,137,90116,0,1,1400,2017-08-01,00:00:00.000,832,1
55,138,43309,0,1,3850,2017-08-01,00:00:00.000,833,1
56,138,44947,0,1,6200,2017-08-01,00:00:00.000,833,1
57,138,43727,0,1,4800,2017-08-01,00:00:00.000,833,1
58,138,9981449,0,1,10150,2017-08-01,00:00:00.000,833,1
59,138,9923378,0,1,4950,2017-08-01,00:00:00.000,833,1
60,138,43728,0,1,2450,2017-08-01,00:00:00.000,833,1
61,138,70999,0,0,27000,2017-08-01,00:00:00.000,833,1
62,138,97569,0,0,36500,2017-08-01,00:00:00.000,833,1
63,138,5259060,0,1,5200,2017-08-01,00:00:00.000,833,1
64,138,9918282,0,1,2400,2017-08-01,00:00:00.000,833,1
65,138,9951145,0,1,4000,2017-08-01,00:00:00.000,833,1
66,138,9991420,0,1,8450,2017-08-01,00:00:00.000,833,1
67,138,9927983,0,1,11900,2017-08-01,00:00:00.000,833,1
68,138,995631,0,1,3200,2017-08-01,00:00:00.000,833,1
69,138,99701,0,1,7500,2017-08-01,00:00:00.000,833,1
70,138,9864,0,1,4750,2017-08-01,00:00:00.000,833,1
71,138,9064657,0,1,5300,2017-08-01,00:00:00.000,833,1
72,138,437538,0,1,3200,2017-08-01,00:00:00.000,833,1
73,139,259616,0,1,5350,2017-08-01,00:00:00.000,835,1
74,139,9902364,0,2,2900,2017-08-01,00:00:00.000,835,1
75,139,437751,0,1,4150,2017-08-01,00:00:00.000,835,1
76,139,22654,0,2,2000,2017-08-01,00:00:00.000,835,1
77,139,71896,0,0,32400,2017-08-01,00:00:00.000,835,1
78,139,62112,0,1,10000,2017-08-01,00:00:00.000,835,1
79,139,702931,0,1,13400,2017-08-01,00:00:00.000,835,1
80,139,48530,0,3,2100,2017-08-01,00:00:00.000,835,3
81,139,438088,0,1,12500,2017-08-01,00:00:00.000,835,1
82,139,9929763,0,2,1600,2017-08-01,00:00:00.000,835,2
83,139,8025,0,1,8950,2017-08-01,00:00:00.000,835,1
84,139,8097,0,2,7450,2017-08-01,00:00:00.000,835,1
85,139,8008,0,0,3950,2017-08-01,00:00:00.000,835,1
86,139,8005,0,0,4250,2017-08-01,00:00:00.000,835,1
87,1310,952141,0,2,6500,2017-08-01,00:00:00.000,838,1
88,1310,80998,0,1,2500,2017-08-01,00:00:00.000,838,1
89,1310,80613,0,1,3500,2017-08-01,00:00:00.000,838,1
90,1310,80612,0,1,3500,2017-08-01,00:00:00.000,838,1
91,1310,80212,0,1,2500,2017-08-01,00:00:00.000,838,1
92,1311,8090,0,1,3450,2017-08-01,00:00:00.000,841,1
93,1311,9009,0,0,5450,2017-08-01,00:00:00.000,841,1
94,1311,9022,0,1,2500,2017-08-01,00:00:00.000,841,1
95,1311,9013,0,1,9800,2017-08-01,00:00:00.000,841,1
96,1311,22400,0,1,9000,2017-08-01,00:00:00.000,841,1
97,1311,90409,0,1,2500,2017-08-01,00:00:00.000,841,1
98,1311,8390,0,0,24950,2017-08-01,00:00:00.000,841,1
99,1311,9904185,0,1,2750,2017-08-01,00:00:00.000,841,1
100,1311,9904188,0,1,2750,2017-08-01,00:00:00.000,841,1
101,1311,90124,0,2,6900,2017-08-01,00:00:00.000,841,1
102,1311,44911,0,5,5300,2017-08-01,00:00:00.000,841,1
103,1311,445046,0,1,17000,2017-08-01,00:00:00.000,841,1
